X coordinate (scaled to Reference SC),Y coordinate (scaled to Reference SC)
-376.0585167,108.2719752
-415.7526115,37.89919111
-424.1737229,100.6863755
-464.169264,72.97151931
-459.3007399,59.83116511
-484.4561412,60.90672809
-507.9894885,83.93060089
-505.555817,14.48547743
-478.7759995,-73.79385787
-409.6631624,-110.6350078
-356.3665361,18.97063268
-375.3654673,17.64277279
-366.2759978,26.9388854
-390.6235525,34.90713813
-390.7238779,50.84251605
-408.3367379,6.756836404
-414.3059502,16.31491289
-482.5127503,-71.67170156
-534.668728,-75.49178873
-380.5171444,-41.93154191
-315.6855147,115.1952834
-361.0807966,103.5223165
-377.7025135,102.19148
-409.1782221,56.62577895
-442.8500251,49.86665775
-501.4081045,-72.26097545
-467.004295,-46.085427
-450.9010403,-16.22713779
-519.7074348,-117.5353319
-532.8838319,-101.5877231
-523.367542,-190.0771981
-428.9416028,55.7254306
-403.8553442,67.72254529
-361.0581509,33.88263263
-378.3714765,37.50348229
-381.9782379,49.81410216
-412.1250804,35.95992926
-423.6928801,21.50716261
-445.3836092,20.81308673
-458.3975629,2.003817231
-417.1852893,-24.8170603
-515.5172518,-140.5235809
-520.5787072,-167.9895978
-357.174576,45.58980246
-404.1713542,-100.225528
-408.999665,56.5068143
-453.8040142,-23.12735098
-358.6220893,93.71583124
-388.9974439,-92.80823137
-500.208357,-136.7725257
-394.598609,11.71305074
-326.2693548,76.68133377
-328.7467804,59.54953862
-349.7193887,25.65144499
-411.3477601,8.97413669
-438.6045942,57.10281776
-411.4427917,-50.74829388
-436.1271686,-88.1009098
-469.1668124,-72.60060111
-492.9182188,-60.50174475
-502.2064371,-56.28641492
-525.0136525,-107.6423749
-524.50842,-140.3078359
-346.7061606,143.9144944
-403.3395842,100.0800813
-381.7531468,39.66494247
-367.8821506,-73.80931045
-425.9937068,53.90868343
-512.1782599,16.50387622
-567.9614685,-91.6527432
-458.0856956,61.54735218
-455.5509128,82.26998533
-381.2584105,-69.10633994
-415.0077401,42.34055081
-425.9892689,41.21515731
-485.2857905,13.67477238
-405.4916635,-3.855375169
-339.4395415,-66.01055837
-479.4289739,-31.29344814
-498.4636137,-31.83744925
-497.7315093,-51.35139033
-509.4438992,-55.03336443
-518.2291335,-75.72265557
-546.7786255,-76.3240382
-540.1909289,-162.1093627
-306.6783186,88.31378157
-367.981206,74.50108812
-375.4157085,97.27421596
-354.1281366,19.43796817
-374.71505,-17.30519191
-370.7050303,-68.45908654
-425.9134103,-83.71207348
-491.9520049,0.692444357
-493.4359118,-8.235254339
-522.3744841,-27.71852225
-545.3762066,-94.88839128
-340.5533471,18.66828005
-340.5533471,24.12339501
-344.1941137,32.30722648
-363.9510061,84.69831638
-371.8616077,76.63646286
-358.0284794,97.77682456
-359.4845311,66.40640133
-449.042339,54.81252594
-411.9086531,-16.79463842
-407.8157155,-5.003975693
-411.1800085,9.801962143
-427.1990704,5.0281746
-484.7199732,-29.75229255
-505.8358347,-28.38851381
-517.4646177,-145.7496823
-364.0442158,93.97895305
-394.5735301,145.0286982
-405.9127447,137.8638818
-320.430141,109.2046588
-372.7664824,111.8902531
-445.1643462,200.5562684
-518.5579007,130.3800403
-429.4639777,126.2212405
-456.5035607,111.8902531
-476.5664231,106.5177098
-332.6421388,127.1160011
-366.6598031,149.5065232
-477.4378458,81.44019634
-482.6717418,31.28656653
-374.9394927,98.22848264
-429.0387682,83.1314358
-483.1393024,74.39226289
-508.4380358,44.70434547
-432.5755699,-12.90198974
-474.0673462,7.04105661
-496.5791371,-32.02436994
-470.3655916,-32.07591111
-456.8407632,-28.1034498
-524.7435614,-117.187024
-295.4659441,113.3628411
-335.8735831,44.18684053
-364.4894578,74.93797785
-295.4659441,73.83441707
-423.1801553,76.11443553
-438.153235,71.95466816
-420.2950224,-93.40425034
-466.4741494,57.10980692
-471.5635023,40.11152119
-468.154012,31.37388291
-496.6776353,22.87538395
-487.3194512,-13.59172133
-506.75557,-25.74486051
-500.9962316,-53.09965772
0,0
-650,0
-300,-400
0,500
